# input: models/mlivr.xml
# output: models/generated/mlivr_inertial_err_10_seed01.xml
# error_level: ±10.0%
# seed: 1

index,body_name,scale,old_mass,new_mass,old_diaginertia,new_diaginertia
0,base_link,0.9268728488,20,18.53745698,"0.133333 0.133333 0.133333","0.1235827376 0.1235827376 0.1235827376"
1,limb_1_base_inertia,1.069486747,4,4.27794699,"0.00443333 0.00443333 0.0072","0.004741387682 0.004741387682 0.007700304581"
2,limb_1_shoulder_link,1.052754924,3.7,3.895193218,"0.0102675 0.0102675 0.00666","0.01080916118 0.01080916118 0.007011347792"
3,limb_1_upper_arm_link,0.9510138051,8.393,7.981858867,"0.133886 0.133886 0.0151074","0.1273274343 0.1273274343 0.01436734596"
4,limb_1_forearm_link,0.9990870174,2.275,2.272922965,"0.0311796 0.0311796 0.004095","0.03115113357 0.03115113357 0.004091261336"
5,limb_1_wrist_1_link,0.989898213,1.219,1.206685922,"0.0025599 0.0025599 0.0021942","0.002534040435 0.002534040435 0.002172034659"
6,limb_1_wrist_2_link,1.030318595,1.219,1.255958367,"0.0025599 0.0025599 0.0021942","0.00263751257 0.00263751257 0.00226072506"
7,limb_1_wrist_3_link,1.05774467,0.1879,0.1987502235,"0.000132117 9.89041e-05 9.89041e-05","0.0001397460526 0.0001046152846 0.0001046152846"
8,limb_1_gripper_link,0.9187719174,0.5,0.4593859587,"0.000225 0.0002167 0.0002167","0.0002067236814 0.0001990978745 0.0001990978745"
9,limb_2_base_inertia,0.9056694953,4,3.622677981,"0.00443333 0.00443333 0.0072","0.004015131744 0.004015131744 0.006520820366"
10,limb_2_shoulder_link,1.067153021,3.7,3.948466177,"0.0102675 0.0102675 0.00666","0.01095699364 0.01095699364 0.007107239118"
11,limb_2_upper_arm_link,0.9865534136,8.393,8.2801428,"0.133886 0.133886 0.0151074","0.1320856903 0.1320856903 0.01490425704"
12,limb_2_forearm_link,1.052456016,2.275,2.394337438,"0.0311796 0.0311796 0.004095","0.03281515761 0.03281515761 0.004309807388"
13,limb_2_wrist_1_link,0.9004212107,1.219,1.097613456,"0.0025599 0.0025599 0.0021942","0.002304988257 0.002304988257 0.00197570422"
14,limb_2_wrist_2_link,0.9890774388,1.219,1.205685398,"0.0025599 0.0025599 0.0021942","0.002531939336 0.002531939336 0.002170233716"
15,limb_2_wrist_3_link,1.044308006,0.1879,0.1962254744,"0.000132117 9.89041e-05 9.89041e-05","0.0001379708409 0.0001032863435 0.0001032863435"
16,limb_2_gripper_link,0.9457524443,0.5,0.4728762221,"0.000225 0.0002167 0.0002167","0.0002127943 0.0002049445547 0.0002049445547"
